Score_Comercial,Es_Desarrollo_Propio,Precio_Confiable,Municipio,Colonia,Operación,Tipo,Título/Colonia,Precio,precio_m2,precio_m2_vs_mediana,Recámaras,Baños,m²,Completitud,codigo_eb,Liga,lat,lon
70.3,,True,Zapopan,Lomas de Tesistán,VENTA,Casa,CASA EN VENTA EN FRACC. LOMAS DE TESISTAN ZAPOPAN CON ALBERCA,8500000.0,15799.256505576208,0.5618980752194146,5.0,4.0,538.0,1.0,EB-WB6282,https://www.aciertamax.com/property/casa-en-venta-en-fracc-lomas-de-tesistan,20.825606,-103.4706597
70.2,,True,Guadalajara,Mezquitan Country,RENTA,Departamento,DEPARTAMENTO EN RENTA LOMAS DEL COUNTRY GUADALAJARA,25000.0,138.88888888888889,0.5610839318552444,5.0,2.0,180.0,1.0,EB-WN4932,https://www.aciertamax.com/property/departamento-en-renta-lomas-del-country-guadalajara-mezquitan-country,20.6969013,-103.3651521
70.1,,True,Zapopan,Colinas de San Javier,RENTA,Casa,Casa en RENTA Colinas de San Javier a pie de Calle,90000.0,64.28571428571429,0.556689342403628,5.0,6.0,1400.0,1.0,EB-WS9348,https://www.aciertamax.com/property/casa-en-renta-colinas-de-san-javier-a-pie-de-calle,20.7025242,-103.3976031
69.9,,True,Tlajomulco de Zúñiga,Las Víboras (Fraccionamiento Valle de las Flores),VENTA,Casa en condominio,Casa en Venta en Condominio Valle de Las Flores.,2700000.0,12272.727272727272,0.5527024228618762,3.0,2.0,220.0,1.0,EB-UB3275,https://www.aciertamax.com/property/casa-en-venta-en-condominio-valle-de-las-flores,20.4613255,-103.5109125
69.9,,True,Guadalajara,Lázaro Cárdenas Sur,VENTA,Casa,Casa en venta en Colonia Lázaro Cárdenas Sur,3800000.0,12179.48717948718,0.5543720412577005,4.0,2.0,312.0,1.0,EB-VV7026,https://www.aciertamax.com/property/casa-en-venta-en-colonia-lazaro-cardenas-sur-lazaro-cardenas-sur,20.6214157,-103.3814298
69.8,,True,Guadalajara,Americana,VENTA,Departamento,"Departamento en Venta en Av. De La Paz, Guadalajara, Jalisco",3350000.0,29646.017699115044,0.5512192852906632,2.0,1.0,113.0,1.0,EB-WJ2758,https://www.aciertamax.com/property/departamentos-en-venta-en-av-de-la-paz-guadalajara-jalisco,20.6724249,-103.376856
69.7,,True,Tlaquepaque,Paseos del Prado,VENTA,Casa,Casa sobre Av. Jesús Michel - GDL Sur - Excelente ubicación,2200000.0,11956.521739130434,0.5498685566584182,3.0,2.0,184.0,1.0,EB-VT2504,https://www.aciertamax.com/property/casa-sobre-av-jesus-michel-gdl-sur-excelente-ubicacion,20.5639253,-103.3921504
69.7,,True,Tlajomulco de Zúñiga,San Agustin,VENTA,Casa,"Casa en venta en pueblo de San Agustín, Tlajomulco",3500000.0,12152.777777777777,0.5495591978024315,4.0,2.0,288.0,1.0,EB-VD3114,https://www.aciertamax.com/property/casa-en-venta-en-pueblo-de-san-agustin-tlajomulco,20.5506311,-103.4682592
69.6,,True,Zapopan,Bugambilias,VENTA,Casa,casa en venta en Bugambilias primera sección,9500000.0,16379.310344827587,0.54581360293031,7.0,6.0,580.0,1.0,EB-WR4097,https://www.aciertamax.com/property/casa-en-venta-en-bugambilias-primera-seccion-bugambilias-zapopan,20.5999194508,-103.4460165373
69.6,,True,Guadalajara,Italia Providencia,VENTA,Departamento,DEPTOS PREVENTA PROVIDENCIA ONTARIO,2750000.0,29891.304347826088,0.5475061418042622,1.0,1.0,92.0,1.0,EB-TR3335,https://www.aciertamax.com/property/deptos-preventa-providencia-ontario,20.6890934,-103.3829529
